order_id,order_date,customer_id,customer_name,region,product_id,product_name,category,quantity,unit_price,discount,payment_method,total_sales,profit
1,8/4/2023,1543,Tiffany Lucas,East,254,Tablet,Electronics,5.00,1115.14,0.1,Cash,5018.13,725.93
2,8/31/2024,1686,Mary Wu,East,341,Laptop,Electronics,3.00,1080.11,0.05,PayPal,3078.31,445.31
3,11/13/2023,1489,Katherine Howard,East,253,Keyboard,Electronics,1.00,545.65,0.07,PayPal,507.45,73.41
4,12/7/2023,1936,Jason Wolfe,East,256,Laptop,Electronics,1.00,1404.47,0.22,Credit Card,1095.49,158.47
5,12/20/2024,1344,Nathan Hoover,South,481,Laptop,Accessories,2.00,457.44,0.12,Credit Card,805.09,116.47
6,11/1/2024,1602,Carla Ward,East,360,Laptop,Electronics,4.00,657.14,0.04,Cash,2523.42,365.04
7,3/5/2024,1884,Amanda Robbins,West,479,Keyboard,Electronics,5.00,673.21,0.22,PayPal,2625.52,379.81
8,2/5/2025,1683,Joanna Figueroa,East,408,Keyboard,Electronics,2.00,1083.06,0.26,Cash,1602.93,231.88
9,2/7/2024,1830,William Hansen,West,296,Laptop,Electronics,3.00,258.12,0.16,PayPal,650.46,94.10
10,7/25/2024,1650,Jonathan Reed,West,229,Keyboard,Electronics,1.00,380.82,0.23,Cash,293.23,42.42
11,1/20/2025,1320,Jerry Hall,West,495,Laptop,Accessories,4.00,872.25,0.06,Cash,3279.66,474.44
12,5/5/2024,1791,Rodney Freeman,South,254,Monitor,Accessories,1.00,1423.35,0.29,Bank Transfer,1010.58,146.19
13,11/14/2024,1816,Patrick Thompson,East,466,Smartphone,Accessories,5.00,624.33,0.09,Bank Transfer,2840.70,410.94
14,5/9/2024,1266,Carolyn Gonzalez,East,439,Tablet,Electronics,3.00,1363.73,0.23,Bank Transfer,3150.22,455.71
15,1/1/2025,1925,Michael Turner,North,418,Laptop,Electronics,2.00,1353.60,0.19,PayPal,2192.83,317.22
16,4/8/2024,1857,Victoria Jones,North,437,Laptop,Electronics,2.00,66.72,0.05,PayPal,126.77,18.34
17,9/15/2023,1398,Samantha Gonzalez,East,494,Keyboard,Electronics,2.00,485.12,0.28,Bank Transfer,698.57,101.06
18,5/14/2024,1573,Michael Gray,West,397,Laptop,Accessories,3.00,737.93,0.22,Cash,1726.76,249.79
19,6/16/2023,1701,Frank Rogers,East,348,Smartphone,Accessories,4.00,462.58,0.01,Bank Transfer,1831.82,264.99
20,6/3/2024,1561,Hector Wells,South,200,Headphones,Electronics,2.00,1464.94,0.11,PayPal,2607.59,377.22
21,5/29/2024,1664,Steve Santiago,South,444,Headphones,Electronics,2.00,366.52,0.01,PayPal,725.71,104.98
22,3/21/2023,1366,Timothy Keller,North,483,Smartphone,Electronics,2.00,922.36,0.08,Credit Card,1697.14,245.51
23,9/27/2024,1486,Carl Weaver,West,346,Smartphone,Electronics,5.00,1186.93,0,Credit Card,5934.65,858.51
24,10/22/2024,1301,Mary Carpenter,West,406,Monitor,Electronics,3.00,1037.50,0.01,Credit Card,3081.38,445.76
25,7/7/2023,1324,Nancy Dixon,North,484,Headphones,Accessories,4.00,1177.90,0.06,Cash,4428.90,640.69
26,7/26/2024,1753,John Cohen,West,495,Tablet,Electronics,2.00,1399.84,0.13,Cash,2435.72,352.35
27,7/25/2023,1383,Brandi Huerta,North,276,Monitor,Accessories,3.00,1057.95,0.02,Credit Card,3110.37,449.95
28,6/22/2024,1116,Joseph Bailey,South,449,Keyboard,Electronics,4.00,1137.80,0.24,Bank Transfer,3458.91,500.37
29,11/14/2023,1746,Leslie Ingram,West,232,Smartphone,Accessories,3.00,254.52,0.28,Bank Transfer,549.76,79.53
30,3/6/2025,1680,Brian Shepard,West,329,Keyboard,Electronics,1.00,628.86,0.17,Bank Transfer,521.95,75.51
31,9/21/2024,1858,Megan Brown PhD,North,202,Laptop,Electronics,4.00,475.97,0.02,Cash,1865.80,269.91
32,10/17/2024,1082,Gary Obrien,South,367,Keyboard,Accessories,1.00,127.95,0.05,Cash,121.55,17.58
33,2/21/2024,1995,Michael Garcia,East,208,Smartphone,Electronics,2.00,1162.47,0.09,Cash,2115.70,306.06
34,6/12/2024,1448,Sue Carroll,North,230,Headphones,Accessories,1.00,502.90,0.11,Credit Card,447.58,64.75
35,11/21/2023,1472,Travis Schmidt,North,256,Monitor,Accessories,4.00,1432.92,0.06,Credit Card,5387.78,779.40
36,8/9/2023,1790,Katrina Ball,East,261,Smartphone,Electronics,3.00,1127.98,0.01,Credit Card,3350.10,484.63
37,4/15/2024,1744,Casey Moore,West,338,Headphones,Electronics,3.00,931.59,0.23,Credit Card,2151.97,311.31
38,11/28/2024,1329,Kimberly Cohen,South,433,Smartphone,Accessories,2.00,1145.47,0.15,Cash,1947.30,281.70
39,4/17/2024,1568,Darryl Perry,East,445,Tablet,Electronics,4.00,602.14,0.09,Cash,2191.79,317.07
40,2/12/2024,1156,Brian Hogan,North,382,Headphones,Accessories,3.00,679.62,0.05,Cash,1936.92,280.20
41,11/22/2023,1260,Michael Mathews,West,261,Monitor,Electronics,2.00,279.41,0.01,PayPal,553.23,80.03
42,12/22/2023,1367,Danielle Watts,West,321,Laptop,Accessories,5.00,1158.61,0.27,Cash,4228.93,611.76
43,1/15/2025,1370,Jorge Hoffman,South,333,Laptop,Accessories,1.00,1255.53,0.08,Bank Transfer,1155.09,167.10
44,7/6/2024,1444,Kenneth Holmes,East,441,Smartphone,Accessories,2.00,877.69,0.29,Cash,1246.32,180.29
45,2/1/2025,1982,Adriana Burke,South,201,Laptop,Electronics,5.00,330.60,0.25,Cash,1239.75,179.34
46,1/12/2025,1154,Jared Washington,North,359,Tablet,Electronics,5.00,1480.27,0.24,Cash,5625.03,813.72
47,3/16/2023,1603,Cheryl Campbell,South,453,Laptop,Electronics,5.00,207.54,0.22,Bank Transfer,809.41,117.09
48,2/29/2024,1823,Tanya Williams,East,431,Monitor,Accessories,3.00,863.09,0.07,Credit Card,2408.02,348.35
49,6/15/2024,1554,Mr. Larry Bradford DDS,West,362,Headphones,Accessories,3.00,178.28,0.07,Bank Transfer,497.40,71.95
50,10/19/2023,1314,John Valentine,South,336,Laptop,Accessories,3.00,989.22,0.27,Cash,2166.39,313.39
51,12/17/2023,1341,Lori Freeman,North,434,Smartphone,Electronics,2.00,1491.20,0.05,PayPal,2833.28,409.87
52,7/28/2024,1686,Benjamin Rodriguez,East,310,Tablet,Electronics,5.00,793.68,0.11,Bank Transfer,3531.88,510.93
53,5/2/2023,1343,Justin Collins,West,334,Headphones,Accessories,4.00,136.66,0.15,Cash,464.64,67.22
54,10/23/2024,1722,John Martin,East,270,Headphones,Electronics,2.00,469.93,0.22,Cash,733.09,106.05
55,8/2/2024,1636,Steven Silva,East,403,Tablet,Electronics,5.00,297.18,0.23,Credit Card,1144.14,165.51
56,2/11/2024,1604,Jorge Herrera,West,362,Tablet,Accessories,5.00,940.57,0.12,Bank Transfer,4138.51,598.68
57,2/20/2024,1800,Jessica Dodson,North,386,Laptop,Electronics,2.00,76.24,0.2,Credit Card,121.98,17.65
58,1/20/2024,1736,Gina Yang,South,318,Headphones,Electronics,3.00,744.08,0.12,PayPal,1964.37,284.17
59,1/6/2025,1468,Dawn Reyes,South,421,Smartphone,Electronics,1.00,141.70,0.17,Cash,117.61,17.01
60,8/15/2024,1038,Dr. Kirsten Gray,East,483,Keyboard,Accessories,1.00,1025.40,0.22,Cash,799.81,115.70
61,8/21/2023,1809,Erin Benson,East,381,Keyboard,Accessories,3.00,971.63,0.13,PayPal,2535.95,366.85
62,12/13/2023,1791,Anthony Weaver,North,267,Laptop,Electronics,5.00,301.69,0.12,Credit Card,1327.44,192.03
63,11/3/2024,1180,Mr. William Logan,East,401,Laptop,Electronics,4.00,1050.45,0.22,Credit Card,3277.40,474.11
64,2/19/2024,1920,Monica Howell,South,450,Laptop,Accessories,5.00,1273.73,0.14,PayPal,5477.04,792.32
65,4/27/2023,1707,Richard Hicks,South,330,Smartphone,Accessories,5.00,897.31,0.14,Credit Card,3858.43,558.17
66,4/13/2023,1535,William Medina,North,448,Tablet,Accessories,3.00,457.64,0.2,Cash,1098.34,158.89
67,7/27/2023,1287,Brittany Hill,North,441,Keyboard,Electronics,5.00,1154.18,0.03,Bank Transfer,5597.77,809.78
68,7/21/2023,1808,Sarah Hood,West,375,Smartphone,Electronics,5.00,218.47,0.22,PayPal,852.03,123.26
69,12/22/2023,1947,Michael Rose,East,368,Keyboard,Accessories,5.00,366.28,0.24,PayPal,1391.86,201.35
70,2/19/2024,1673,Cameron Murray,West,293,Tablet,Accessories,1.00,1151.84,0,PayPal,1151.84,166.63
71,7/9/2024,1861,Kathryn Marsh,East,256,Laptop,Electronics,4.00,430.04,0.15,Cash,1462.14,211.51
72,5/20/2023,1496,Cynthia Henderson,South,275,Headphones,Accessories,2.00,52.63,0.12,Bank Transfer,92.63,13.40
73,3/14/2024,1101,Ashley Tyler DDS,North,297,Keyboard,Accessories,5.00,1296.62,0.22,Credit Card,5056.82,731.53
74,1/26/2024,1483,Alexander Johnson,South,329,Headphones,Electronics,3.00,129.38,0.05,Cash,368.73,53.34
75,7/27/2023,1143,Jose Braun,West,498,Smartphone,Electronics,4.00,886.56,0.23,PayPal,2730.60,395.01
76,12/4/2023,1191,Leah Jackson,South,402,Monitor,Accessories,4.00,1432.06,0.03,Bank Transfer,5556.39,803.80
77,4/23/2023,1752,Harry Barnes,North,467,Tablet,Accessories,1.00,92.26,0.1,Bank Transfer,83.03,12.01
78,2/4/2024,1434,Brandi Martin,South,289,Keyboard,Electronics,1.00,1260.04,0.1,Bank Transfer,1134.04,164.05
79,1/28/2024,1884,Todd White,South,237,Laptop,Electronics,2.00,460.02,0.19,Bank Transfer,745.23,107.81
80,11/22/2023,1209,Susan Joseph,South,440,Laptop,Accessories,5.00,74.98,0.11,Cash,333.66,48.27
81,10/4/2023,1921,Richard Davis,South,499,Keyboard,Electronics,4.00,1395.42,0.29,PayPal,3962.99,573.29
82,7/4/2024,1665,Robert Hill,North,462,Keyboard,Electronics,1.00,530.07,0.06,Bank Transfer,498.27,72.08
83,12/14/2023,1690,Laura Clayton,West,224,Headphones,Accessories,5.00,444.11,0.07,Credit Card,2065.11,298.74
84,11/18/2024,1867,Samuel Fuentes,North,318,Headphones,Accessories,2.00,652.03,0.25,PayPal,978.05,141.49
85,6/17/2024,1424,Kevin Terry,East,433,Monitor,Electronics,3.00,1205.25,0.24,Credit Card,2747.97,397.52
86,6/22/2024,1911,Michelle Mayer,South,221,Smartphone,Electronics,1.00,1049.81,0.23,Credit Card,808.35,116.94
87,8/3/2024,1830,Traci Harper,South,362,Laptop,Accessories,4.00,755.21,0.13,Cash,2628.13,380.19
88,10/26/2023,1794,Michael Mcintyre,West,280,Monitor,Accessories,1.00,1092.46,0.25,Bank Transfer,819.35,118.53
89,9/29/2024,1419,Dakota Mitchell,West,417,Smartphone,Accessories,2.00,672.05,0.23,Bank Transfer,1034.96,149.72
90,9/19/2023,1358,Corey Archer,West,312,Tablet,Electronics,1.00,389.09,0.22,PayPal,303.49,43.90
91,3/23/2023,1795,Regina Gardner,South,431,Keyboard,Accessories,1.00,1022.95,0.24,Bank Transfer,777.44,112.47
92,8/22/2024,1679,William Mahoney,East,395,Smartphone,Electronics,2.00,428.90,0.16,PayPal,720.55,104.24
93,1/29/2025,1183,Edward Flores,South,321,Smartphone,Electronics,5.00,800.23,0.22,Cash,3120.90,451.47
94,11/10/2024,1474,Andrew Gibson,South,341,Headphones,Accessories,1.00,303.38,0.02,Credit Card,297.31,43.01
95,11/26/2024,1298,Vincent Reeves,South,385,Monitor,Electronics,2.00,1118.91,0.05,Credit Card,2125.93,307.54
96,5/30/2023,1915,Stephen Zamora,West,404,Tablet,Electronics,1.00,635.71,0.27,Cash,464.07,67.13
97,10/12/2023,1842,Valerie Leon,East,295,Smartphone,Accessories,5.00,743.60,0.02,PayPal,3643.64,527.09
98,7/1/2023,1247,Jeanette Keith,North,238,Tablet,Accessories,5.00,386.54,0.25,Bank Transfer,1449.53,209.69
99,1/26/2024,1029,Patricia Hall,East,214,Smartphone,Accessories,1.00,1151.72,0.12,Credit Card,1013.51,146.62
100,3/25/2023,1935,Gavin Richard,South,269,Headphones,Electronics,1.00,980.69,0.27,Credit Card,715.90,103.56
101,3/28/2024,1663,Robert Rogers,South,235,Keyboard,Accessories,5.00,1004.61,0.15,PayPal,4269.59,617.64
102,3/8/2024,1361,Michael Turner,East,487,Tablet,Accessories,5.00,668.83,0.21,Bank Transfer,2641.88,382.18
103,12/15/2024,1745,Frances Fisher,North,248,Headphones,Accessories,3.00,1279.26,0.16,Credit Card,3223.74,466.35
